Date,Time,Source IP Address,Destination IP Address,Source Port,Destination Port
29-Jan,02:44:30,192.168.17.24,192.168.10.60,138,138
29-Jan,02:44:30,192.168.17.24,192.168.9.51,138,138
29-Jan,02:44:30,192.168.17.24,192.168.10.60,138,138
29-Jan,02:47:31,192.168.17.24,192.168.9.51,138,138
29-Jan,02:47:31,192.168.17.24,192.168.10.60,138,138
29-Jan,02:47:31,192.168.17.24,192.168.9.51,138,138
29-Jan,02:47:31,192.168.17.24,192.168.10.60,138,138
29-Jan,02:50:40,192.168.17.24,192.168.9.51,138,138
29-Jan,02:50:40,192.168.17.24,192.168.10.60,138,138
29-Jan,02:50:40,192.168.17.24,192.168.9.51,138,138
29-Jan,02:50:40,192.168.17.24,192.168.10.60,138,138
29-Jan,02:53:44,192.168.17.24,192.168.9.51,138,138
29-Jan,02:53:44,192.168.17.24,192.168.10.60,138,138
29-Jan,02:53:44,192.168.17.24,192.168.9.51,138,138
29-Jan,02:53:44,192.168.17.24,192.168.10.60,138,138
29-Jan,02:56:43,192.168.17.24,192.168.9.51,138,138
29-Jan,02:56:43,192.168.17.24,192.168.10.60,138,138
29-Jan,02:56:43,192.168.17.24,192.168.9.51,138,138
29-Jan,02:56:43,192.168.17.24,192.168.10.60,138,138
29-Jan,02:59:39,192.168.17.24,192.168.9.51,138,138
29-Jan,02:59:39,192.168.17.24,192.168.10.60,138,138
29-Jan,02:59:39,192.168.17.24,192.168.9.51,138,138
29-Jan,02:59:39,192.168.17.24,192.168.10.60,138,138
29-Jan,03:02:40,192.168.17.24,192.168.9.51,138,138
29-Jan,03:02:40,192.168.17.24,192.168.10.60,138,138
29-Jan,03:02:40,192.168.17.24,192.168.9.51,138,138
29-Jan,03:02:40,192.168.17.24,192.168.10.60,138,138
29-Jan,03:05:58,192.168.17.24,192.168.9.51,138,138
29-Jan,03:05:58,192.168.17.24,192.168.10.60,138,138
29-Jan,03:05:58,192.168.17.24,192.168.9.51,138,138
29-Jan,03:05:58,192.168.17.24,192.168.10.60,138,138
29-Jan,03:08:57,192.168.17.24,192.168.9.51,138,138
29-Jan,03:08:57,192.168.17.24,192.168.10.60,138,138
29-Jan,03:08:57,192.168.17.24,192.168.9.51,138,138
29-Jan,03:08:57,192.168.17.24,192.168.10.60,138,138
29-Jan,03:11:53,192.168.17.24,192.168.9.51,138,138
29-Jan,03:11:53,192.168.17.24,192.168.10.60,138,138
29-Jan,03:11:53,192.168.17.24,192.168.9.51,138,138
29-Jan,03:11:53,192.168.17.24,192.168.10.60,138,138
